Dispatching_base_num,Pickup_date,Affiliated_base_num,locationID
B02765,01-04-2015 13:30,B02765,149
B02598,21-05-2015 16:10,B02598,140
B02682,21-06-2015 21:25,B02682,237
B02512,12-05-2015 20:11,B02682,186
B02617,15-01-2015 12:43,B02617,119
B02617,08-05-2015 09:38,B02617,87
B02764,25-06-2015 21:43,B00888,88
B02764,08-04-2015 12:58,B02764,237
B02598,11-04-2015 15:59,B02682,163
B02512,16-03-2015 00:31,B02617,158
B02764,19-03-2015 16:06,B02764,138
B02764,23-01-2015 11:40,B02764,236
B02682,25-03-2015 22:51,B02512,142
B02765,01-06-2015 23:03,B02765,249
B02764,27-06-2015 09:07,B02341,234
B02764,09-05-2015 00:07,B02764,113
B02682,06-06-2015 18:43,B02682,263
B02764,19-03-2015 05:42,B02764,35
B02617,08-05-2015 14:29,B02617,141
B02598,07-04-2015 23:13,B02598,246
B02764,03-03-2015 08:58,B02764,164
B02682,12-02-2015 15:38,B02682,163
B02764,24-01-2015 19:28,B02764,236
B02598,21-04-2015 16:32,B02598,158
B02764,13-02-2015 11:49,B02764,143
B02617,19-04-2015 08:04,B02617,42
B02682,10-04-2015 18:14,B02682,42
B02764,26-01-2015 07:08,B02764,231
B02682,08-04-2015 21:57,B02729,249
B02764,25-05-2015 05:07,B02067,148
B02764,01-02-2015 17:52,B02764,22
B02682,15-05-2015 00:56,B02682,237
B02765,19-02-2015 23:48,B02765,144
B02764,16-06-2015 20:40,B02682,141
B02682,11-05-2015 18:33,B02682,161
B02764,22-05-2015 05:09,B02764,161
B02682,28-03-2015 22:53,B02598,138
B02764,13-01-2015 10:16,B02764,228
B02764,28-05-2015 07:38,B02764,79
B02598,20-02-2015 18:01,B02598,249
B02617,09-01-2015 02:10,B02617,138
B02764,18-03-2015 18:13,B01877,68
B02764,28-06-2015 19:36,B02682,181
B02598,06-01-2015 00:35,B02598,137
B02682,30-03-2015 20:26,B02682,232
B02765,30-03-2015 10:35,B02765,255
B02598,10-02-2015 19:16,B02598,210
B02617,14-01-2015 13:39,B02617,158
B02764,30-06-2015 11:15,B02764,181
B02682,01-03-2015 11:03,B02682,112
B02598,20-04-2015 21:49,B02598,162
B02764,01-05-2015 20:06,B02764,170
B02682,25-05-2015 17:18,B02682,72
B02617,10-02-2015 23:24,B02617,4
B02682,11-06-2015 19:16,B02765,234
B02764,17-05-2015 05:04,B00014,48
B02764,02-03-2015 13:37,B02764,231
B02682,30-05-2015 00:48,B02682,41
B02598,13-06-2015 20:01,B02598,263
B02682,08-05-2015 18:56,B02682,234
B02682,29-03-2015 00:25,B02764,49
B02512,19-06-2015 22:51,B02764,148
B02764,01-03-2015 07:48,B00280,141
B02617,28-03-2015 23:36,B02617,48
B02765,07-04-2015 13:40,B01197,163
B02764,06-05-2015 08:22,B02764,141
B02682,20-05-2015 00:42,B02682,36
B02764,04-03-2015 22:05,B02216,230
B02682,27-05-2015 06:28,B02682,113
B02765,13-06-2015 03:51,B02764,249
B02617,30-03-2015 21:23,B02617,230
B02617,15-04-2015 22:46,B02617,186
B02682,09-06-2015 21:18,B02682,209
B02617,18-03-2015 16:10,B02617,113
B02765,07-04-2015 15:54,B02764,4
B02682,30-06-2015 09:21,B02682,236
B02598,26-05-2015 14:13,B02617,123
B02682,19-04-2015 02:00,B02682,37
B02512,04-03-2015 05:54,B02682,132
B02764,11-01-2015 03:31,B02764,148
B02617,30-04-2015 17:14,B02617,263
B02682,16-03-2015 18:38,B02682,13
B02682,23-05-2015 12:56,B02682,50
B02682,19-06-2015 15:08,B02682,225
B02617,14-02-2015 14:35,B02617,40
B02598,14-04-2015 17:02,B02598,140
B02682,17-01-2015 02:01,B02216,45
B02617,16-06-2015 15:42,B02617,48
B02764,18-02-2015 13:31,B02764,28
B02682,26-02-2015 01:24,B02682,79
B02617,16-04-2015 21:22,B02764,211
B02682,23-06-2015 16:17,B02682,255
B02682,08-03-2015 15:42,B02682,239
B02765,27-02-2015 07:02,B02765,87
B02765,18-05-2015 21:24,B02765,237
B02764,01-02-2015 20:33,B02764,232
B02682,23-02-2015 20:51,B02617,246
B02617,30-05-2015 19:25,B02764,234
B02682,15-06-2015 12:31,B02715,107
B02764,11-06-2015 22:47,B02764,186
B02764,16-01-2015 07:37,B02818,225
B02598,08-02-2015 01:36,B02598,148
B02682,20-02-2015 19:55,B02682,13
B02764,08-06-2015 14:22,B02764,231
B02764,01-04-2015 19:38,B02764,161
B02764,06-04-2015 14:07,B02764,100
B02764,14-06-2015 00:56,B02764,41
B02682,19-06-2015 14:32,B02682,97
B02617,04-06-2015 18:02,B02617,162
B02764,23-02-2015 19:04,B02764,256
B02682,12-02-2015 20:11,B02682,125
B02764,16-06-2015 23:10,B02764,158
B02617,09-01-2015 17:57,B02617,66
B02764,22-01-2015 22:11,B02764,163
B02598,21-05-2015 06:23,B02598,229
B02682,05-05-2015 20:05,B02682,234
B02764,02-04-2015 20:39,B02764,141
B02764,30-06-2015 17:41,B02765,65
B02764,22-02-2015 02:47,B02764,36
B02617,07-01-2015 04:18,B02617,61
B02764,25-01-2015 13:50,B02764,141
B02617,11-03-2015 21:29,B02617,87
B02764,13-03-2015 22:33,B02764,113
B02598,16-01-2015 22:02,B02598,234
B02764,28-05-2015 13:01,B02764,4
B02764,08-02-2015 20:07,B02764,144
B02764,09-02-2015 22:17,,163
B02682,25-06-2015 17:28,B02682,170
B02682,01-03-2015 22:43,B02764,114
B02682,25-04-2015 13:30,B02682,231
B02764,01-02-2015 12:59,B02764,79
B02764,13-02-2015 10:30,B02764,237
B02764,24-03-2015 06:44,B02408,234
B02764,08-01-2015 12:29,B02764,137
B02682,20-05-2015 21:42,B02617,87
B02682,01-02-2015 17:00,B02682,237
B02617,28-05-2015 11:52,B02617,224
B02598,22-04-2015 09:25,B02598,141
B02617,06-02-2015 08:32,B02617,68
B02682,05-02-2015 19:33,B02682,246
B02764,28-01-2015 21:11,B02764,17
B02764,25-01-2015 22:26,B00271,82
B02764,22-03-2015 02:55,B02764,113
B02764,09-06-2015 07:35,B02764,144
B02598,27-04-2015 23:07,B02598,158
B02764,16-01-2015 06:53,,144
B02682,22-04-2015 14:36,B02682,246
B02617,27-02-2015 19:47,B02617,163
B02598,05-02-2015 17:20,B02598,68
B02764,23-02-2015 13:23,B02764,87
B02617,20-01-2015 16:08,B02617,162
B02598,06-03-2015 04:44,B02598,231
B02682,22-04-2015 20:28,B02682,249
B02764,08-04-2015 21:18,B02764,76
B02682,27-02-2015 10:10,B02682,138
B02617,16-03-2015 21:19,B02617,164
B02764,24-01-2015 01:46,B02764,48
B02682,29-06-2015 17:01,B02682,97
B02765,16-05-2015 20:11,B02764,143
B02617,25-03-2015 08:16,B02617,236
B02764,24-06-2015 09:53,B02764,237
B02617,01-06-2015 12:28,B02617,170
B02764,13-06-2015 13:49,B02774,70
B02682,16-02-2015 01:00,B02764,170
B02598,11-03-2015 16:17,B02598,151
B02598,01-01-2015 01:39,B02598,56
B02764,30-01-2015 22:45,B02764,68
B02764,28-06-2015 02:54,B02764,231
B02682,15-04-2015 16:44,B02682,236
B02682,28-02-2015 22:15,B02764,97
B02765,21-05-2015 06:39,B02765,41
B02764,09-06-2015 14:35,B02835,13
B02617,11-03-2015 21:53,B02617,13
B02682,06-02-2015 10:23,B02682,141
B02764,16-04-2015 19:15,B02764,163
B02764,17-03-2015 16:55,B02764,13
B02682,21-04-2015 08:48,B02682,37
B02617,28-06-2015 20:21,B02617,138
B02682,01-02-2015 18:30,B02682,45
B02617,22-03-2015 18:44,B02617,186
B02764,26-02-2015 16:04,B02764,142
B02764,05-04-2015 02:11,B02764,87
B02764,22-04-2015 13:59,B02764,157
B02764,16-05-2015 18:56,B02764,161
B02617,20-01-2015 09:17,B02617,211
B02764,07-03-2015 19:53,B02764,79
B02598,27-06-2015 12:57,B02598,7
B02682,26-05-2015 10:28,B02682,13
B02617,19-02-2015 20:12,B02617,48
B02764,21-06-2015 09:20,B02764,223
B02617,15-01-2015 19:09,B02729,11
B02682,11-05-2015 16:17,B02682,161
B02682,11-04-2015 22:34,B02682,85
B02764,28-05-2015 00:22,B02598,43
B02764,21-03-2015 12:06,B02764,148
B02617,28-04-2015 18:53,B02617,211
B02764,07-02-2015 16:54,B00271,79
B02764,05-06-2015 01:53,B02608,68
B02598,27-05-2015 13:43,B02598,162
B02764,14-05-2015 21:01,B02764,237
B02617,27-04-2015 08:05,B02617,164
B02764,16-01-2015 15:14,B02617,140
B02764,27-04-2015 17:47,B02774,114
B02682,11-06-2015 09:05,B02682,166
B02764,08-01-2015 11:51,B02764,231
B02682,04-02-2015 21:59,B02682,158
B02764,06-04-2015 20:53,B02764,50
B02682,09-04-2015 23:26,B02682,234
B02764,03-01-2015 16:59,B02764,17
B02598,27-06-2015 23:11,B02598,48
B02617,13-02-2015 02:41,B02617,107
B02682,07-06-2015 15:49,B02682,230
B02598,17-01-2015 20:23,B02598,79
B02598,16-06-2015 15:28,B02598,132
B02682,25-06-2015 15:17,B02764,90
B02764,14-05-2015 19:49,B02764,42
B02682,12-03-2015 09:17,B02764,65
B02617,26-06-2015 07:31,B02617,188
B02765,05-06-2015 23:55,B02765,17
B02765,22-01-2015 11:53,B02764,113
B02682,05-05-2015 23:12,B02682,163
B02764,05-04-2015 11:44,B02729,224
B02764,21-05-2015 23:36,B02764,227
B02598,30-03-2015 07:03,B02598,140
B02765,21-05-2015 17:09,B02765,170
B02764,10-01-2015 09:12,B02764,113
B02682,18-01-2015 13:24,B00227,142
B02682,18-03-2015 12:17,B02682,72
B02764,24-01-2015 21:53,B02764,230
B02682,22-02-2015 09:57,B02682,107
B02682,13-04-2015 08:00,B02682,229
B02764,30-06-2015 09:59,B02764,163
B02764,15-05-2015 08:09,B02472,192
B02598,07-05-2015 21:13,B02598,90
B02764,13-01-2015 19:52,B02764,113
B02617,03-02-2015 20:06,B02617,237
B02764,19-06-2015 01:06,B01998,237
B02682,28-03-2015 22:00,B02682,148
B02764,22-03-2015 10:27,B00789,151
B02764,24-01-2015 21:39,B02729,234
B02682,11-06-2015 16:42,B02682,230
B02764,17-02-2015 10:37,B01998,82
B02764,13-01-2015 09:53,B00013,13
B02682,20-04-2015 17:51,B02682,143
B02682,10-05-2015 10:31,B02682,40
B02764,16-03-2015 08:49,B02764,33
B02765,05-05-2015 10:18,B02765,138
B02765,11-03-2015 23:34,B02765,170
B02764,04-06-2015 20:07,B02764,36
B02598,04-06-2015 22:35,B02682,163
B02617,12-03-2015 07:51,B02617,113
B02764,17-04-2015 12:43,B02101,161
B02764,16-02-2015 11:55,B02764,145
B02764,19-02-2015 15:46,B02764,261
B02764,24-03-2015 10:43,B01087,79
B02682,16-05-2015 20:07,B02682,112
B02764,23-03-2015 00:15,B01912,170
B02764,26-05-2015 00:44,B02764,158
B02764,25-02-2015 22:00,B02764,161
B02765,08-03-2015 01:20,B00271,237
B02682,29-05-2015 22:50,B02682,238
B02598,19-02-2015 17:51,B02598,100
B02682,24-06-2015 17:01,B02835,231
B02764,14-01-2015 21:55,B00272,211
B02682,30-06-2015 19:08,B02682,157
B02617,17-05-2015 17:48,B02764,262
B02764,08-04-2015 17:51,B00111,52
B02682,14-05-2015 17:07,B02682,197
B02765,05-03-2015 20:07,B02765,43
B02765,08-06-2015 22:21,B02765,50
B02764,10-06-2015 17:23,B01949,97
B02682,06-05-2015 03:02,B02682,114
B02764,14-01-2015 16:49,B02764,170
B02617,14-03-2015 19:01,B02617,79
B02682,04-04-2015 02:01,B02682,170
B02512,02-05-2015 22:50,B02512,258
B02764,08-01-2015 19:13,B02788,158
B02764,13-03-2015 20:20,B02764,107
B02764,30-05-2015 10:24,B01877,24
B02598,10-04-2015 22:28,B02598,158
B02764,10-03-2015 19:02,B01779,14
B02764,23-06-2015 19:29,B02764,100
B02764,03-06-2015 21:54,B02764,107
B02765,06-03-2015 16:24,B00477,162
B02598,14-05-2015 01:29,B02598,135
B02598,14-03-2015 03:06,B02598,233
B02764,11-03-2015 15:06,B02764,66
B02617,11-02-2015 09:27,B02617,148
B02764,06-02-2015 17:42,B02764,230
B02764,16-05-2015 04:11,B02764,79
B02765,23-06-2015 15:49,B02765,249
B02682,14-02-2015 22:18,B02682,114
B02512,05-03-2015 09:46,B02617,13
B02682,05-02-2015 23:51,B02682,234
B02765,22-03-2015 21:08,B02765,143
B02764,27-06-2015 15:32,B02598,49
B02598,02-04-2015 10:49,B02598,237
B02682,02-06-2015 05:51,B02682,249
B02682,26-01-2015 17:11,B02682,188
B02682,04-06-2015 08:11,B02682,256
B02682,20-04-2015 10:31,B02682,144
B02682,23-05-2015 18:47,B02682,80
B02764,01-04-2015 15:15,B02764,162
B02617,10-03-2015 18:41,B02617,234
B02764,18-04-2015 01:29,B02764,256
B02764,07-06-2015 15:36,B02764,143
B02682,06-03-2015 11:30,B02682,68
B02764,26-05-2015 17:40,B02764,246
B02764,18-04-2015 22:46,B02764,255
B02764,16-04-2015 17:59,B02764,209
B02764,12-01-2015 11:52,,170
B02764,03-03-2015 09:50,B02764,234
B02764,23-06-2015 07:49,B02764,237
B02598,02-05-2015 13:30,B02598,246
B02682,03-05-2015 00:54,B02682,164
B02764,03-02-2015 04:43,B02764,114
B02617,12-06-2015 06:14,B02617,234
B02682,16-01-2015 09:47,B02764,255
B02764,20-01-2015 10:46,B02764,246
B02764,17-02-2015 09:31,B02764,230
B02682,02-03-2015 08:03,B02682,50
B02617,04-04-2015 21:05,B02617,230
B02682,23-06-2015 18:36,B02682,166
B02764,21-04-2015 17:16,B02764,231
B02764,12-01-2015 18:30,B02788,87
B02617,05-03-2015 22:33,B02617,162
B02682,08-06-2015 18:05,B02682,137
B02764,25-03-2015 23:02,B02764,48
B02764,07-02-2015 16:26,B02764,164
B02764,17-01-2015 09:41,B02764,48
B02764,10-04-2015 01:30,B02764,100
B02598,26-06-2015 03:16,B02598,66
B02617,21-02-2015 21:52,B02617,48
B02682,08-05-2015 15:55,B02682,112
B02764,15-02-2015 09:47,B01087,230
B02764,27-05-2015 06:14,B02682,145
B02765,22-03-2015 06:49,B02765,140
B02682,19-01-2015 23:27,B02682,132
B02764,30-03-2015 23:56,B02764,246
B02598,22-05-2015 10:34,B02598,229
B02682,19-06-2015 14:01,B02682,33
B02764,19-01-2015 13:49,B02764,141
B02682,19-06-2015 23:56,B02598,230
B02617,25-01-2015 01:33,B02617,231
B02682,13-03-2015 20:52,B02764,68
B02617,08-01-2015 18:55,B02617,97
B02765,16-04-2015 14:15,B02765,68
B02764,29-03-2015 16:49,B02764,134
B02764,16-02-2015 17:52,B02764,234
B02682,30-06-2015 22:49,B02764,256
B02598,06-03-2015 08:13,B02598,143
B02617,18-01-2015 14:11,B02617,238
B02764,14-02-2015 23:05,,113
B02764,07-02-2015 12:09,B02764,231
B02682,14-04-2015 21:29,B02682,237
B02764,12-06-2015 14:14,B02764,170
B02764,02-02-2015 03:28,B02764,112
B02764,23-04-2015 08:45,B02729,68
B02764,10-02-2015 00:46,,37
B02764,22-05-2015 18:43,B02729,163
B02598,28-05-2015 00:28,B02682,138
B02764,25-01-2015 10:53,B02764,170
B02765,20-01-2015 10:10,B00111,149
B02764,01-01-2015 00:20,B02764,255
B02764,03-05-2015 08:00,B01876,211
B02764,23-05-2015 00:30,B02202,255
B02764,24-04-2015 20:45,B02764,255
B02682,09-04-2015 11:50,B02682,237
B02765,06-05-2015 11:47,B00013,65
B02617,14-03-2015 13:38,B02617,95
B02764,06-06-2015 23:49,B02512,228
B02682,07-01-2015 19:01,B02682,246
B02764,18-03-2015 17:32,B02764,237
B02764,15-06-2015 08:11,B02207,65
B02682,12-04-2015 17:35,B02682,90
B02617,05-01-2015 16:21,B02617,145
B02764,04-05-2015 19:43,B01998,132
B02765,15-03-2015 03:12,B02765,102
B02764,10-03-2015 16:25,B02764,149
B02682,02-05-2015 08:37,B02682,239
B02764,24-04-2015 17:51,B02764,79
B02598,03-06-2015 21:06,B02598,255
B02598,30-04-2015 22:27,B02598,239
B02617,27-05-2015 00:53,B02617,163
B02764,25-01-2015 08:54,B02764,255
B02682,11-04-2015 12:29,B02682,61
B02764,12-03-2015 20:10,B02764,162
B02682,18-06-2015 20:29,B00014,87
B02764,20-06-2015 02:16,B02764,249
B02682,25-05-2015 16:41,B02682,174
B02765,21-03-2015 11:52,B02765,125
B02512,18-03-2015 12:25,B02512,239
B02598,12-04-2015 18:42,B02765,237
B02764,04-02-2015 09:35,B02764,237
B02617,12-05-2015 12:56,B02617,61
B02617,11-05-2015 05:41,B02617,211
B02764,20-02-2015 19:30,B02764,170
B02764,26-02-2015 18:45,B02749,164
B02682,09-06-2015 11:05,B02682,113
B02512,11-01-2015 20:53,B00628,132
B02598,29-05-2015 00:00,B01949,246
B02764,29-06-2015 20:38,B02764,132
B02764,10-01-2015 18:08,B02764,216
B02682,26-06-2015 08:47,B02682,193
B02682,23-02-2015 03:59,B02682,181
B02764,11-03-2015 22:55,B02764,230
B02764,25-06-2015 22:34,B02682,113
B02764,09-02-2015 18:08,B02764,163
B02682,23-05-2015 16:09,B02682,211
B02764,22-01-2015 15:11,B02764,145
B02764,24-06-2015 21:53,B02644,229
B02764,23-06-2015 16:48,B02764,227
B02512,14-02-2015 22:03,B02512,90
B02764,24-01-2015 08:34,B02764,157
B02682,01-06-2015 10:34,B02682,163
B02764,16-05-2015 01:09,B02764,166
B02617,04-04-2015 07:34,B02617,48
B02598,16-04-2015 21:23,B02598,79
B02617,31-03-2015 12:01,B02617,13
B02617,18-03-2015 08:56,B02617,113
B02617,04-02-2015 07:48,B02617,229
B02764,02-03-2015 03:55,B02764,262
B02764,13-05-2015 12:09,B02764,237
B02764,10-01-2015 11:53,B02764,188
B02598,23-06-2015 14:43,B02598,162
B02682,22-04-2015 09:44,B02598,25
B02617,17-02-2015 21:29,B02617,132
B02764,02-04-2015 23:28,B01087,158
B02598,23-06-2015 07:28,B02598,241
B02764,08-05-2015 19:10,B00271,249
B02764,17-03-2015 22:36,B02764,249
B02765,07-06-2015 00:24,B02765,231
B02764,17-01-2015 00:29,B02764,50
B02835,24-06-2015 13:46,B02835,142
B02617,31-05-2015 20:20,B02617,132
B02765,12-06-2015 17:09,B02765,140
B02682,28-04-2015 08:05,B02682,238
B02764,01-02-2015 17:14,B02764,74
B02764,09-06-2015 16:37,B02764,143
B02764,18-03-2015 23:18,B02764,237
B02764,15-01-2015 11:26,B02789,246
B02764,28-03-2015 16:16,B02764,79
B02764,17-04-2015 17:21,B02764,18
B02764,03-02-2015 16:50,B02764,234
B02617,05-03-2015 08:38,B02617,262
B02598,07-02-2015 20:30,B02598,79
B02764,24-02-2015 15:37,B02764,246
B02617,25-02-2015 21:39,B02617,230
B02682,18-03-2015 08:32,B02764,112
B02764,24-03-2015 00:44,B02764,256
B02598,23-02-2015 21:12,B02598,132
B02764,25-02-2015 23:10,B02764,185
B02764,21-01-2015 22:32,B02764,114
B02764,13-02-2015 23:16,B02764,259
B02598,08-01-2015 09:42,B02598,229
B02764,26-01-2015 08:33,B00277,233
B02682,28-01-2015 15:25,B02682,231
B02764,20-01-2015 21:59,B02764,113
B02764,18-06-2015 17:18,B02682,97
B02764,15-05-2015 20:53,B02764,132
B02764,13-04-2015 10:21,B01087,170
B02765,27-04-2015 22:27,B02765,261
B02682,13-05-2015 12:45,B02765,151
B02764,15-01-2015 19:24,B02764,142
B02765,29-04-2015 07:30,B02764,229
B02764,22-02-2015 15:13,B02764,236
B02764,30-01-2015 23:08,B01998,144
B02764,01-05-2015 16:20,B02764,161
B02682,05-01-2015 07:40,B02682,144
B02764,12-02-2015 09:16,B02764,61
B02764,23-05-2015 21:43,B02682,163
B02764,22-01-2015 21:37,B02764,107
B02682,09-06-2015 17:20,B02682,100
B02764,10-05-2015 21:46,B02764,158
B02512,03-01-2015 21:45,B02512,164
B02512,07-03-2015 00:07,B02764,79
B02764,08-05-2015 09:26,B02764,113
B02682,29-06-2015 21:13,B02682,234
B02682,27-03-2015 21:49,B02682,255
B02764,01-02-2015 00:40,B02764,231
B02617,25-01-2015 17:05,B02617,166
B02764,28-02-2015 07:20,B02764,262
B02764,09-01-2015 16:32,B02764,97
B02512,07-01-2015 17:38,,50
B02765,26-04-2015 04:08,B02765,48
B02682,23-06-2015 08:41,B02682,33
B02764,04-05-2015 12:56,B02682,164
B02682,13-04-2015 18:52,B02682,25
B02682,26-03-2015 18:35,B02682,260
B02682,25-05-2015 19:25,B02682,141
B02617,07-04-2015 12:03,B02617,229
B02764,09-01-2015 06:43,B02764,141
B02617,02-05-2015 19:51,B02617,114
B02512,19-02-2015 08:43,B00227,141
B02764,12-06-2015 08:53,B02764,233
B02764,11-02-2015 17:40,B02764,130
B02764,10-02-2015 21:04,,256
B02764,28-05-2015 11:50,B02447,233
B02682,17-05-2015 12:20,B02682,230
B02617,08-01-2015 09:35,B02617,215
B02764,25-01-2015 16:23,B02764,234
B02764,08-03-2015 07:55,B02764,145
B02764,09-06-2015 18:13,B02764,125
B02682,22-01-2015 09:41,B02764,141
B02764,08-01-2015 23:41,B02764,42
B02617,13-02-2015 09:43,B02617,211
B02682,24-04-2015 09:56,B02682,234
B02682,17-05-2015 09:37,B02682,48
B02764,23-06-2015 12:51,B02764,237
B02682,03-03-2015 05:42,B02682,231
B02764,08-05-2015 22:55,B02764,4
B02764,31-05-2015 20:50,B00271,4
B02617,08-05-2015 10:58,B02617,50
B02764,22-03-2015 13:25,B02764,234
B02682,14-04-2015 10:50,B02682,224
B02598,15-03-2015 19:07,B02598,68
B02764,27-06-2015 15:59,B00789,249
B02682,30-03-2015 15:18,B02682,200
B02682,14-06-2015 01:27,B02682,230
B02598,20-02-2015 18:12,B02598,211
B02764,16-04-2015 07:47,B02764,230
B02764,10-03-2015 15:41,B02764,164
B02682,17-02-2015 00:17,B02682,48
B02764,20-05-2015 18:11,B02764,231
B02617,08-03-2015 19:31,B02617,262
B02764,15-04-2015 13:26,B02729,158
B02682,06-03-2015 12:40,B02682,13
B02682,28-03-2015 10:45,B02682,231
B02682,26-03-2015 08:28,B02682,237
B02682,13-01-2015 08:45,B02682,48
B02598,11-03-2015 21:25,B02598,107
B02682,26-06-2015 17:29,B02765,141
B02764,18-03-2015 22:37,B02764,161
B02764,26-01-2015 19:52,B02774,79
B02598,23-06-2015 23:40,B02598,211
B02617,27-03-2015 10:28,B02617,114
B02764,25-03-2015 12:33,B02764,75
B02617,20-03-2015 18:42,B02617,209
B02764,11-03-2015 02:03,B02682,50
B02682,20-06-2015 08:06,B02682,255
B02682,26-05-2015 17:32,B02682,236
B02617,24-04-2015 18:56,B02617,233
B02512,13-01-2015 05:22,B02682,132
B02764,20-02-2015 21:27,B02764,233
B02764,20-02-2015 19:50,B02764,249
B02617,24-04-2015 17:47,B02818,229
B02617,09-01-2015 11:25,B02617,25
B02764,19-02-2015 07:05,B02764,85
B02764,23-05-2015 05:28,B01998,161
B02598,21-01-2015 17:48,B02598,164
B02764,29-03-2015 01:31,B02764,158
